,train_times,accuracies,avg_losses
0,42.93259611500025,23.837288597926896,2.476776660137966
1,43.992327139999816,23.837288597926896,2.4694027157910248
2,43.3240801969996,23.837288597926896,2.466104111640282
3,43.71664755599977,,
4,43.49710059200015,,
5,44.72336852199987,,
6,43.77598360899992,,
7,42.700666101000024,,
8,42.50690526700009,,
9,43.320735109,,
10,43.281799499000044,,
11,43.08577495700001,,
12,42.65939767300006,,
13,43.671784692000074,,
14,44.16713072899984,,
15,44.659774621,,
16,44.341018115000224,,
17,46.97391714200012,,
18,47.71652022900025,,
19,47.21517393199974,,
20,53.035010321999835,,
21,44.20956973000011,,
22,44.71547416300018,,
23,44.217684965000444,,
24,43.82065994200002,,
25,42.32147399799942,,
26,42.02476468800069,,
27,42.43691541899989,,
28,41.86560819999977,,
29,42.09077323499969,,
30,42.09428045699951,,
31,42.030512700000145,,
32,41.898534123999525,,
33,41.175685897999756,,
34,41.264312278000034,,
35,41.527850479000335,,
36,40.79178338800011,,
37,41.14650842699939,,
38,41.27277279400005,,
39,41.71419329499986,,
40,41.15496651600006,,
41,40.89696756899957,,
42,41.19972664600027,,
43,41.062734492000345,,
44,41.00959385799979,,
45,40.99700092199964,,
46,41.06700010700024,,
47,42.10142816999996,,
48,41.43851738800004,,
49,41.398647160999644,,
50,41.14170898700013,,
51,41.03572201099996,,
52,41.29984160700042,,
53,41.14508167799977,,
