,0
0,0.00014752099034408533
1,7.4400239391422e-05
2,2.8701590751752145e-05
3,1.8038233315857742e-05
4,1.2139610003535342e-05
5,1.8264939221931403e-05
6,0.00010959783551535646
7,1.2139610003535342e-05
8,2.8701590751752145e-05
9,0.00025973964856027606
10,3.641951762328109e-05
11,1.2139610003535342e-05
12,2.3091376069133353e-05
13,1.8264939221931403e-05
14,0.0006216975274548375
15,0.00014927796306886775
16,2.739009246510386e-05
17,2.8256287241346385e-05
18,2.8701590751752145e-05
19,0.0004302663780748578
20,2.4279449207312802e-05
21,9.705828564449514e-05
22,2.739009246510386e-05
23,2.404125116832474e-05
24,3.086229699528801e-05
25,0.00016889994370213632
26,0.0007086589952171461
27,0.0001330067062431348
28,0.00011852869714089148
29,2.3091376069133353e-05
30,6.134329089094645e-05
31,1.2139610003535342e-05
32,1.8038233315857742e-05
33,8.202583506730209e-05
34,3.717466451730398e-05
35,2.638916284159296e-05
36,1.2139610003535342e-05
37,0.0003781073214017695
38,8.802633023210677e-05
39,1.8264939221931403e-05
40,0.0002448355446353986
41,2.3109940823665378e-05
42,2.3109940823665378e-05
43,3.607699699699498e-05
44,3.817944966556219e-05
45,3.6076996996994956e-05
46,0.00020167826390954862
47,1.8038233315857742e-05
48,0.0006181291351438863
49,2.404125116832474e-05
50,5.7727220855954454e-05
51,1.2139610003535342e-05
52,1.8264939221931403e-05
53,2.967579607283191e-05
54,3.533365978341907e-05
55,2.4279449207312802e-05
56,2.3109940823665378e-05
57,5.8662943218207845e-05
58,6.569732529653972e-05
59,0.00022700978938362083
60,7.339847585332768e-05
61,8.303739812230643e-05
62,7.903615698887834e-05
63,6.933288451876426e-05
64,6.966965010265818e-05
65,8.038850692932358e-05
66,1.2139610003535342e-05
67,9.859382894619433e-05
68,2.4279449207312802e-05
69,0.0002307840915439063
70,2.404125116832474e-05
71,3.678688858163969e-05
72,1.2139610003535342e-05
73,2.4279449207312802e-05
74,2.967579607283191e-05
75,1.8038233315857742e-05
76,2.739009246510386e-05
77,3.486786595336975e-05
78,9.90439424609658e-05
79,1.8038233315857742e-05
80,3.7677214146784844e-05
81,1.2139610003535342e-05
82,6.77804388188777e-05
83,2.8256287241346385e-05
84,0.0012866545114858874
